ANO;LOCALIDAD_MADRE;EDAD_MADRE;SEXO;REGIMEN_SEGURIDAD;total
2009;Antonio Nariño;26;MASCULINO;SUBSIDIADO;3
2009;Antonio Nariño;27;FEMENINO;CONTRIBUTIVO;26
2009;Antonio Nariño;27;FEMENINO;EXCEPCION;4
2009;Antonio Nariño;27;FEMENINO;NO ASEGURADO;6
2009;Antonio Nariño;27;FEMENINO;SUBSIDIADO;5
2009;Antonio Nariño;27;MASCULINO;CONTRIBUTIVO;38
2009;Antonio Nariño;27;MASCULINO;NO ASEGURADO;3
2009;Antonio Nariño;27;MASCULINO;SUBSIDIADO;6
2009;Antonio Nariño;28;FEMENINO;CONTRIBUTIVO;22
2009;Antonio Nariño;28;FEMENINO;EXCEPCION;4
2009;Antonio Nariño;28;FEMENINO;NO ASEGURADO;2
2009;Antonio Nariño;28;FEMENINO;SUBSIDIADO;5
2009;Antonio Nariño;28;MASCULINO;CONTRIBUTIVO;21
2009;Antonio Nariño;28;MASCULINO;EXCEPCION;1
2009;Antonio Nariño;28;MASCULINO;NO ASEGURADO;2
2009;Antonio Nariño;28;MASCULINO;SUBSIDIADO;6
2009;Antonio Nariño;29;FEMENINO;CONTRIBUTIVO;27
2009;Antonio Nariño;29;FEMENINO;NO ASEGURADO;2
2009;Antonio Nariño;29;FEMENINO;SUBSIDIADO;2
2009;Antonio Nariño;29;MASCULINO;CONTRIBUTIVO;18
2009;Antonio Nariño;29;MASCULINO;EXCEPCION;1
2009;Antonio Nariño;29;MASCULINO;NO ASEGURADO;3
2009;Antonio Nariño;29;MASCULINO;SUBSIDIADO;3
2009;Antonio Nariño;30;FEMENINO;CONTRIBUTIVO;24
2009;Antonio Nariño;30;FEMENINO;NO ASEGURADO;3
2009;Antonio Nariño;30;MASCULINO;CONTRIBUTIVO;22
2009;Antonio Nariño;30;MASCULINO;NO ASEGURADO;6
2009;Antonio Nariño;31;FEMENINO;CONTRIBUTIVO;12
2009;Antonio Nariño;31;FEMENINO;EXCEPCION;1
2009;Antonio Nariño;31;FEMENINO;NO ASEGURADO;2
2009;Antonio Nariño;31;FEMENINO;SUBSIDIADO;3
2009;Antonio Nariño;31;MASCULINO;CONTRIBUTIVO;19
2009;Antonio Nariño;31;MASCULINO;NO ASEGURADO;2
2009;Antonio Nariño;31;MASCULINO;SUBSIDIADO;4
2009;Antonio Nariño;32;FEMENINO;CONTRIBUTIVO;22
2009;Antonio Nariño;32;FEMENINO;EXCEPCION;2
2009;Antonio Nariño;32;FEMENINO;NO ASEGURADO;3
2009;Antonio Nariño;32;FEMENINO;SUBSIDIADO;1
2009;Antonio Nariño;32;MASCULINO;CONTRIBUTIVO;16
2009;Antonio Nariño;32;MASCULINO;NO ASEGURADO;1
2009;Antonio Nariño;32;MASCULINO;SUBSIDIADO;9
2009;Antonio Nariño;33;FEMENINO;CONTRIBUTIVO;17
2009;Antonio Nariño;33;FEMENINO;NO ASEGURADO;1
2009;Antonio Nariño;33;FEMENINO;SUBSIDIADO;2
2009;Antonio Nariño;33;MASCULINO;CONTRIBUTIVO;15
2009;Antonio Nariño;33;MASCULINO;EXCEPCION;2
2009;Antonio Nariño;33;MASCULINO;NO ASEGURADO;1
2009;Antonio Nariño;33;MASCULINO;SUBSIDIADO;5
2009;Antonio Nariño;34;FEMENINO;CONTRIBUTIVO;17
2009;Antonio Nariño;34;FEMENINO;NO ASEGURADO;2
2009;Antonio Nariño;34;FEMENINO;SUBSIDIADO;2
2009;Antonio Nariño;34;MASCULINO;CONTRIBUTIVO;15
2009;Antonio Nariño;34;MASCULINO;EXCEPCION;2
2009;Antonio Nariño;34;MASCULINO;NO ASEGURADO;3
2009;Antonio Nariño;34;MASCULINO;SUBSIDIADO;2
2009;Antonio Nariño;35;FEMENINO;CONTRIBUTIVO;10
2009;Antonio Nariño;35;FEMENINO;SUBSIDIADO;2
2009;Antonio Nariño;35;MASCULINO;CONTRIBUTIVO;15
2009;Antonio Nariño;35;MASCULINO;NO ASEGURADO;1
2009;Antonio Nariño;35;MASCULINO;SUBSIDIADO;1
2009;Antonio Nariño;36;FEMENINO;CONTRIBUTIVO;12
2009;Antonio Nariño;36;FEMENINO;EXCEPCION;3
2009;Antonio Nariño;36;FEMENINO;NO ASEGURADO;2
2009;Antonio Nariño;36;FEMENINO;SUBSIDIADO;2
2009;Antonio Nariño;36;MASCULINO;CONTRIBUTIVO;10
2009;Antonio Nariño;36;MASCULINO;NO ASEGURADO;2
2009;Antonio Nariño;36;MASCULINO;SUBSIDIADO;2
2009;Antonio Nariño;37;FEMENINO;CONTRIBUTIVO;3
2009;Antonio Nariño;37;FEMENINO;NO ASEGURADO;2
2009;Antonio Nariño;37;MASCULINO;CONTRIBUTIVO;8
2009;Antonio Nariño;37;MASCULINO;ESPECIAL;1
2009;Antonio Nariño;37;MASCULINO;EXCEPCION;1
2009;Antonio Nariño;38;FEMENINO;CONTRIBUTIVO;5
2009;Antonio Nariño;38;FEMENINO;NO ASEGURADO;2
2009;Antonio Nariño;38;FEMENINO;SUBSIDIADO;4
